Nutrient,DailyValue,ID_UDSDA
Vitamin A,900,1104
Vitamin C,90,1162
Calcium,1300,1237
Iron,18,1089
Vitamin D,20,1110
Vitamin E,15,1109
Vitamin K,120,1183
Thiamin,1.2,1243
Riboflavin,1.3,1166
Niacin,16,1167
Vitamin B6,1.7,1175
Folate,400,1177
Vitamin B12,2.4,1246
Biotin,30,1176
Pantothenic acid,5,1170
Phosphorus,1250,1091
Iodine,150,1100
Magnesium,420,1090
Zinc,11,1095
Selenium,55,1103
Copper,0.9,1098
Manganese,2.3,1101
Chromium,35,1096
Molybdenum,45,1102
Potassium,4700,1092
Choline,550,1180
Total lipid (fat),78,1004
Saturated fat,20,1258
Cholesterol,300,1253
Carbohydrate,275,2039
Sodium,2300,1093
Fiber,28,2033
Protein,50,1003
Added sugars,50,1235
